to learn,lernen
to find,finden
to come,kommen
I want,ich will
I can / I am able to,ich kann
to go,gehen
not,nicht
I can't go,ich kann nicht gehen
I don't want to go,ich will nicht gehen
to hope,hoffen
to help,helfen
I can't help,ich kann nicht helfen
to sleep,schlafen
I can't sleep,ich kann nicht schlafen
to ripen,reifen
ape,Affe
ship,Schiff
to fall asleep,einschlafen
I can't fall asleep,ich kann nicht einschlafen
Can I come?,Kann ich kommen?
Can I go?,Kann ich gehen?
Can I not go? (can't I go?),Kann ich nicht gehen?
Can I help?,Kann ich helfen?
Can't I help?,Kann ich nicht helfen?
I want to sleep,Ich will schlafen
I can't fall asleep,Ich kann nicht einschlafen
"I come, I'm coming",Ich komme
"I learn, I'm learning",Ich lerne
I hope,Ich hoffe
I am going,Ich gehe
it,es
I want it,Ich will es
I'm finding it,Ich finde es
I'm not finding it,Ich finde es nicht
thank you (I thank you),Danke
to thank,danken
to think,denken
to bathe,baden
bath,Bad
I'm bathing,Ich bade
brother,Bruder
my brother,mein Bruder
Can my brother come?,Kann mein Bruder kommen?
thing,Ding
then / because,denn
"tomorrow, morning",morgen
I'll help tomorrow,Ich helfe morgen
to wash,waschen
I'm washing it,Ich wasche es
we,wir
"we are coming, we come",Wir kommen
to want (infinitive),wollen
we want,Wir wollen
we want to come,Wir wollen kommen
we'll come tomorrow,Wir kommen morgen
to see,sehen
we see it,Wir sehen es
I'll see it tomorrow,Ich sehe es morgen
they / you (formal),Sie
they are coming,Sie kommen
they are not coming,Sie kommen nicht
they're not coming tomorrow,Sie kommen morgen nicht
Aren't they coming tomorrow?,Kommen sie morgen nicht?
Come tomorrow,Kommen Sie morgen
Don't come tomorrow,Kommen Sie morgen nicht
Are you finding it?,Finden Sie es?
Will you find it tomorrow?,Finden Sie es morgen?
"Let's go, are we going?",Gehen wir?
the (plural),die
the children,die Kinder
Are the children coming?,Kommen die Kinder?
to sing,singen
they / them,sie
me,mich
They see me,Sie sehen mich
Won't you see me tomorrow?,Sehen Sie mich morgen nicht?
to eat,essen
water,Wasser
better,besser
I'm eating it,Ich esse es
to hate,hassen
they hate it,Sie hassen es
to forget,vergessen
I'm forgetting it,Ich vergesse es
I'm losing my temper (lit. I forget myself),Ich vergesse mich
I must / I have to,Ich muss
I must go / I have to go,Ich muss gehen
I don't have to eat,Ich muss nicht essen
Must I? / Do I have to?,Muss ich?
