course,Kurs
mouth,Mund
ground,Grund
round,rund
a (masc/neut),ein
a (fem),eine
blouse,Bluse
a blouse,eine Bluse
my,mein
my brother,mein Bruder
young,jung
my brother is young,Mein Bruder ist jung
where,wo
where is my blouse,Wo ist meine Bluse?
your (informal masc/neut),dein
your brother,dein Bruder
is your brother young,Ist dein Bruder jung?
house,Haus
my house,mein Haus
your house,dein Haus
street,Strasse
a street,eine Strasse
my street,meine Strasse
where is your street,Wo ist deine Strasse?
to have,haben
I have,Ich habe
I have it,Ich habe es
I don't have it,Ich habe es nicht
no / not any,kein
this is no problem,Das ist kein Problem
I have no problem,Ich habe kein Problem
no street,keine Strasse
we see no street,Wir sehen keine Strasse
you have (informal),du hast
do you have my blouse,Hast du meine Bluse?
children,Kinder
my children,meine Kinder
your children (informal),deine Kinder
no children,keine Kinder
we have no children,Wir haben keine Kinder
child,Kind
no,nein
one,eins
two,zwei
to / in order to,zu
is,ist
it,es
it is,Es ist
it is warm,Es ist warm
it is too warm,Es ist zu warm
warmer,wärmer
it is warmer,Es ist wärmer
big,gross
this is too big,Das ist zu gross
this is bigger,Das ist grösser
cold,kalt
it is cold,Es ist kalt
it is colder,Es ist kälter
it is too cold,Es ist zu kalt
I feel like it / I have desire,Ich habe Lust
I feel like going,Ich habe Lust zu gehen
do you feel like eating,Hast du Lust zu essen?
we feel like seeing it,Wir haben Lust es zu sehen
something / somewhat,etwas
this is somewhat big,Das ist etwas gross
this is somewhat bigger,Das ist etwas größer
it is somewhat warm,Es ist etwas warm
it is somewhat warmer,Es ist etwas wärmer
do you feel like eating something,Hast du Lust etwas zu essen?
do you want to cook something,Willst du etwas kochen?
I don't feel like eating,Ich habe keine Lust zu essen
to search / to seek,suchen
I'm looking for it,Ich suche es
what are you looking for (informal),Was suchst du?
are you looking for it,Suchst du es?
to try,versuchen
I'm trying,Ich versuche
I'm trying to do it,Ich versuche es zu machen
I try to look for it later,Ich versuch es später zu suchen
to visit,besuchen
I visit,Ich besuche
you visit (informal),du besuchst
I try to visit them later,Ich versuche sie später zu besuchen
you (subject informal),du
you (object informal),dich
I understand you,Ich verstehe dich
I don't understand you,Ich verstehe dich nicht
you understand (formal/plural),Sie verstehen
to wait,warten
I am waiting on you,Ich warte auf dich
are they waiting on me,Warten sie auf mich?
you wait (informal),du wartest
you find (informal),du findest
don't you find it,Findest du es nicht?
don't you find anything,Findest du nichts?
to answer,antworten
they don't answer us,Sie antworten uns nicht
you don't answer us (informal),Du antwortest uns nicht
to break,brechen
to speak,sprechen
German,Deutsch
do you speak German (formal),Sprechen Sie Deutsch?
can we speak German,Können wir Deutsch sprechen?
to smell,riechen
I smell it,Ich rieche es
to stink,stinken
dog,Hund
to know (a fact),wissen
I know,Ich weiß
I know it,Ich weiß es
I don't know it,Ich weiß es nicht
do you know where my dog is (formal),Wissen Sie wo mein Hund ist?
do you know where my dog is (informal),Weißt du wo mein Hund ist?
the (feminine/plural),die
the children,die Kinder
the blouse,die Bluse
the woman,die Frau
she / they,sie
she is,Sie ist
she is here,Sie ist hier
they are,Sie sind
they are here,Sie sind hier
are your children here (informal),Sind deine Kinder hier?
the child,das Kind
the house,das Haus
the (masculine),der
the dog,der Hund
the man,der Mann
he,er
he is here,Er ist hier
the dog is here,Der Hund ist hier
the woman is here,Die Frau ist hier
the house is here,Das Haus ist hier
the man is here,Der Mann ist hier
word,Wort
the words,die Wörter
the men,die Männer
the dogs,die Hunde
my dogs,meine Hunde
my dogs are here,Meine Hunde sind hier
cat,Katze
the hand,die Hand
the hands,die Hände
sausage,Wurst
the sausages,die Würste
year,Jahr
the years,die Jahre
the cats,die Katzen
my cats,meine Katzen
neighbour,Nachbar
the women,die Frauen
the neighbours,die Nachbarn
to laugh,lachen
loud,laut
my neighbour is too loud,Mein Nachbar ist zu laut
good,gut
my neighbours are good,Meine Nachbarn sind gut
childhood,Kindheit
my childhood,meine Kindheit
to drink,trinken
shoulder,Schulter
to dance,tanzen
please,bitte
to ask / to ask for,bitten
to travel / to ride,fahren
my neighbours are travelling to Berlin,Meine Nachbarn fahren nach Berlin
I'm asking you (informal),Ich bitte dich
I'm asking you to come,Ich bitte dich zu kommen
I'm asking you to stay here,Ich bitte dich hier zu bleiben
are you asking me to go (informal),Bittest du mich zu gehen?
he is,Er ist
he is coming,Er kommt
she is staying here,Sie bleibt hier
he is visiting me,Er besucht mich
he understands nothing,Er versteht nichts
it stinks,Es stinkt
it smells of soup,Es riecht nach Suppe
it makes / it does,Es macht
it doesn't matter,Es macht nichts
to do (colloquial),tun
it does,Es tut
I'm sorry,Es tut mir leid
to me,mir
to you (informal),dir
are you sorry (informal),Tut es dir leid?
my shoulder hurts,Meine Schulter tut weh
