this/that,das
is,ist
big/great,groß
this is big,Das ist groß
this is not big,Das ist nicht groß
this is better,das ist besser
is this/that better?,Ist das besser?
isn't this better?,Ist das nicht besser?
out,aus
to go out,ausgehen
because/then,denn
I want to go out because I can't sleep,Ich will ausgehen denn ich kann nicht einschlafen
"to sleep in (lit. ""out-sleep"")",ausschlafen
I want to sleep in,Ich will ausschlafen
what,was
to want,wollen
what do you (formal)/they want?,Was wollen Sie/sie?
what do you want to eat?,Was wollen Sie essen?
what are we eating?,Was essen wir?
what is this?,Was ist das?
it,es
it is,es ist
it is big,Es ist groß
it is not big,Es ist nicht groß
to understand,verstehen
I understand,Ich verstehe
I don't understand,Ich verstehe nicht
I don't understand it,Ich verstehe es nicht
I don't understand them/you (formal),Ich verstehe sie/Sie nicht
to stand,stehen
we understand,Wir verstehen
we understand you/them,Wir verstehen sie/Sie
we don't understand them,Wir verstehen sie nicht
do you understand?,Verstehen Sie?
don't you understand?,Verstehen Sie nicht?
don't you understand me?,Verstehen Sie mich nicht?
late,spät
"convenience store (lit. ""late-buy"")",Spätkauf
to buy,kaufen
I am buying it,Ich kaufe es
I am not buying it,Ich kaufe es nicht
later,später
I'll buy it later,Ich kaufe es später
I'll buy them later,Ich kaufe sie später
they'll buy it tomorrow,Sie kaufen es morgen
they'll buy them tomorrow,Sie kaufen sie morgen
they won't buy them tomorrow,Sie kaufen sie morgen nicht
to sell,verkaufen
to forget,vergessen
they/you are selling it,Sie/sie verkaufen es
are they/you selling it?,Verkaufen sie/Sie es?
sell it!,Verkaufen Sie es!
aren't they/you selling it?,Verkaufen sie/Sie es nicht?
don't sell it!,Verkaufen sie es nicht!
we sell,Wir verkaufen
what are we selling?,Was verkaufen wir?
to send,senden
I'm buying it tomorrow,Ich kaufe es morgen
I'm not buying it tomorrow,Ich kaufe es morgen nicht
they're sending it,Sie senden es
they're not sending it,Sie senden es nicht
they're not sending it tomorrow,Sie senden es morgen nicht
"the day after tomorrow (lit. ""over-tomorrow"")",übermorgen
I'm coming the day after tomorrow,Ich komme übermorgen
they're sending them tomorrow,Sie senden sie morgen
they're not sending them tomorrow,Sie senden sie morgen nicht
they're sending them not tomorrow (emphasis),Sie senden sie nicht morgen
they're sending them the day after tomorrow,Sie senden sie übermorgen
I want,Ich will
I want to buy it,Ich will es kaufen
I want to buy it tomorrow,Ich will es morgen kaufen
I can/he can (to be able to),kann
I can't send it tomorrow,Ich kann es morgen nicht senden
I can't buy it later,Ich kann es später nicht kaufen
to stay,bleiben
here,hier
I can stay here,Ich kann hier bleiben
I can't stay here tomorrow,Ich kann morgen nicht hier bleiben
now,jetzt
they want it,Sie wollen es
do they want it,Wollen sie es?
they want it now,Sie wollen's jetzt
what do they want now,Was wollen sie jetzt?
to eat,essen
what do they want to eat now,Was wollen sie jetzt essen?
to can / to be able,können
they can,Sie können
the children,die Kinder
the children can,Die Kinder können
we can,Wir können
can we buy it now,Können wir es jetzt kaufen?
I can,Ich kann
I can't stay here now,Ich kann jetzt nicht hier bleiben
there,da
I can stay there tomorrow,Ich kann morgen da bleiben
to must / to have to,müssen
I don't have to go now,Ich muss jetzt nicht gehen
we must,Wir müssen
must we / do we have to,Müssen wir?
to organize,organisieren
must we organize it now,Müssen wir es jetzt organisieren?
to study,studieren
must we study,Müssen wir studieren?
to adopt,adoptieren
to activate,aktivieren
"to argue, to put forward an argument",argumentieren
to boycott,boykottieren
to demolish,demolieren
to deport,deportieren
to function / to work,funktionieren
to exist,existieren
to reduce,reduzieren
to accept,akzeptieren
I must,Ich muss
they must copy it there,Sie müssen es da kopieren
us,uns
they must inform us,Sie müssen uns informieren
to interest,interessieren
they don't interest us,Sie interessieren uns nicht
I stay,Ich bleibe
I'm coming,Ich komme
I'm coming tomorrow,Ich komm morgen
I'm not coming tomorrow,Ich komm morgen nicht
you (informal),du
to go,gehen
you go / you're going,Du gehst
you understand (informal),Du verstehst
do you understand me,Verstehst du mich?
don't you understand me,Verstehst du mich nicht?
nothing / anything,nichts
you understand nothing,Du verstehst nichts
I want to eat,Ich will essen
I don't want to eat,Ich will nicht essen
I want nothing to eat,Ich will nichts essen
you want (informal),du willst
do you want to eat,Willst du essen?
don't you want to eat anything,Willst du nichts essen?
can you help,Kannst du helfen?
can't you help,Kannst du nicht helfen?
to see,sehen
can you see it,Kannst du es sehen?
to do / to make,machen
I make it / I'm making it,Ich mache es
you make (formal),Sie machen
you make (informal),du machst
what are you doing,Was machst du?
are you doing it tomorrow,Machst du es morgen?
what are you doing there,Was machst du da?
you can (informal),du kannst
you must (informal),du musst
you have to do it,Du musst es machen
soon,bald
you have to do it soon,Du musst es bald machen
you organize (informal),du organisierst
to sing,singen
you sing (informal),du singst
do you sing,Singst du?
do you accept it,Akzeptierst du es?
